,0
0,0.6974099065387248
1,0.9294099893777568
2,0.8846697464872877
3,0.452455394779125
4,0.32684001957553177
5,0.7262564994063213
6,0.7264500795454281
7,0.8901244757058864
8,0.3088763057748828
9,0.3469954685620266
10,0.7270904703369832
11,0.5170470636704743
12,0.4102501741996943
13,0.39633204355199847
14,0.9080296926398088
15,0.45370655212098276
16,0.234421405758445
17,0.5106545691934707
18,0.4929465956368003
19,0.9082245345538433
20,0.651410758370432
21,0.7370993754839088
22,0.43518671032380174
23,0.756264849301043
24,0.791219614447805
25,0.6756962388470643
26,0.5328459910108084
27,0.7318091668564819
28,0.7129423754999584
29,0.8454280306958782
30,0.6652699172226667
31,0.3981339482742723
32,0.4407748138141926
33,0.6920384992292238
34,0.3461717543585098
35,0.3028923784501416
36,0.4867249829999123
37,0.6461800667748301
38,0.3953560454866791
39,0.4753350577255324
40,0.5179086232920729
41,0.7690803544376125
42,0.6083872049343986
43,0.7741833197749657
44,0.3982006322228189
45,0.6829128235672888
46,0.5975300796389535
47,0.691364966646513
48,0.5202181354931964
49,0.8016023057075257
50,0.8991955432379178
51,0.44987204392086305
52,0.6412409841384278
53,0.8722719319695895
54,0.4388614078707268
55,0.3681091158784731
56,0.31432130608069486
57,0.48501330766253936
58,0.48844005661837187
59,0.543593073461898
60,0.25307993543609664
61,0.7778908095392559
62,0.39950758474573506
63,0.6717512367265313
64,0.3251698396982033
65,0.9298053835910418
66,0.39612080451947196
67,0.6874584646995047
68,0.9012385222357485
69,0.45840487515725264
70,0.2698632408031845
71,0.5138203967040279
72,0.41192185151966604
73,0.8393293328852073
74,0.2508570417679825
75,0.2768926945567272
76,0.5243484652026738
77,0.638251293568232
78,0.5134807900537798
79,0.6976827423070504
80,0.2585809701377677
81,0.297271066090963
82,0.4839997096596469
83,0.37045581860749244
84,0.4329700302755418
85,0.34433332545908957
86,0.3614074013806432
87,0.3870357000201816
88,0.35189378886426714
89,0.8479421931121583
90,0.6475539739102223
91,0.2737123948030658
92,0.8614081155942446
93,0.509201718627197
94,0.3264162348427181
95,0.5221064571343226
96,0.45158453946520005
97,0.8324957035365814
98,0.8107386442548226
99,0.9281679237732665
100,0.2325440774540938
101,0.7626739670454666
102,0.43498244829486954
103,0.4836606768308255
104,0.7674289998892392
105,0.30468886409889956
106,0.9048946183063352
107,0.8056685985015609
108,0.5291026051318068
109,0.8944101411555984
110,0.6756254529565865
111,0.719629619630337
112,0.7222027809832233
113,0.4020676492911305
114,0.8319367535488019
115,0.4520428455249409
116,0.859233321109241
117,0.290166738589439
118,0.29074561818860106
119,0.3635003279226255
120,0.7783391582420246
121,0.331923799945819
122,0.7324949381402159
123,0.827560826192519
124,0.2975903178849395
125,0.6997622741089243
126,0.317012648634473
127,0.4506425311795865
128,0.4676214631501898
129,0.49831179690630967
130,0.5676635242979584
131,0.4033924346856107
132,0.6495000331007391
133,0.5578519995909852
134,0.6543338545285832
135,0.7258840807044518
136,0.6602227622623812
137,0.7535612705109855
138,0.7902411725963828
139,0.33751560938050224
140,0.7920645734341635
141,0.4941764541619471
142,0.729556893485968
143,0.3875099171496096
144,0.5786715919801293
145,0.5235644654753127
146,0.49975584461624767
147,0.287096228401929
148,0.633026365105894
